id_venta,id_producto,nombre_producto,cantidad,precio_unitario,importe
1,90,Toallas Húmedas x50,1.0,29020.0,2902.0
2,82,Aceitunas Negras 200g,5.0,23940.0,11970.0
2,39,Helado Vainilla 1L,5.0,4690.0,2345.0
2,70,Fernet 750ml,2.0,40610.0,8122.0
2,22,Medialunas de Manteca,1.0,20690.0,2069.0
2,79,Hamburguesas Congeladas x4,4.0,24200.0,9680.0
3,9,Yerba Mate Suave 1kg,2.0,38780.0,7756.0
3,2,Pepsi 1.5L,2.0,49730.0,9946.0
3,85,Jugo en Polvo Naranja,1.0,18560.0,1856.0
4,4,Fanta Naranja 1.5L,2.0,20330.0,4066.0
4,23,Bizcochos Salados,5.0,23800.0,11900.0
5,86,Jugo en Polvo Limón,4.0,40900.0,16360.0
6,25,Galletitas Vainilla,2.0,40150.0,8030.0
6,31,Mix de Frutos Secos 200g,3.0,34090.0,10227.0
6,83,Queso Untable 190g,1.0,18300.0,1830.0
6,59,Chicle Menta,4.0,36120.0,14448.0
7,63,Granola 250g,3.0,43370.0,13011.0
8,53,Lavandina 1L,5.0,16640.0,8320.0
8,18,Queso Rallado 150g,4.0,34440.0,13776.0
8,68,Vino Blanco 750ml,5.0,26840.0,13420.0
9,65,Cerveza Rubia 1L,4.0,24230.0,9692.0
10,36,Dulce de Leche 400g,2.0,25590.0,5118.0
10,100,Trapo de Piso,4.0,48540.0,19416.0
10,37,Mermelada de Durazno 400g,3.0,31960.0,9588.0
10,62,Stevia 100 sobres,1.0,38480.0,3848.0
11,13,Té Verde 20 saquitos,1.0,23830.0,2383.0
11,65,Cerveza Rubia 1L,2.0,24230.0,4846.0
11,28,Papas Fritas Clásicas 100g,1.0,9360.0,936.0
12,72,Ron 700ml,2.0,38760.0,7752.0
12,50,Azúcar 1kg,2.0,7270.0,1454.0
12,56,Papel Higiénico x4,3.0,25320.0,7596.0
12,87,Sopa Instantánea Pollo,3.0,16790.0,5037.0
12,38,Mermelada de Frutilla 400g,4.0,15840.0,6336.0
13,87,Sopa Instantánea Pollo,1.0,16790.0,1679.0
13,81,Aceitunas Verdes 200g,3.0,25200.0,7560.0
13,13,Té Verde 20 saquitos,1.0,23830.0,2383.0
14,36,Dulce de Leche 400g,4.0,25590.0,10236.0
14,72,Ron 700ml,5.0,38760.0,19380.0
14,38,Mermelada de Frutilla 400g,3.0,15840.0,4752.0
14,97,Limpiavidrios 500ml,1.0,8720.0,872.0
15,37,Mermelada de Durazno 400g,3.0,31960.0,9588.0
16,35,Barrita de Cereal 30g,5.0,44300.0,22150.0
17,81,Aceitunas Verdes 200g,5.0,25200.0,12600.0
17,46,Lentejas Secas 500g,5.0,30360.0,15180.0
17,74,Whisky 750ml,3.0,29530.0,8859.0
18,33,Chocolate con Leche 100g,2.0,12550.0,2510.0
18,4,Fanta Naranja 1.5L,5.0,20330.0,10165.0
18,24,Galletitas Chocolate,2.0,13050.0,2610.0
18,15,Leche Descremada 1L,3.0,25380.0,7614.0
18,22,Medialunas de Manteca,5.0,20690.0,10345.0
19,38,Mermelada de Frutilla 400g,2.0,15840.0,3168.0
19,98,Desengrasante 500ml,3.0,28430.0,8529.0
19,63,Granola 250g,3.0,43370.0,13011.0
20,32,Chocolate Amargo 100g,3.0,22340.0,6702.0
21,76,Pizza Congelada Muzzarella,5.0,42860.0,21430.0
21,35,Barrita de Cereal 30g,1.0,44300.0,4430.0
22,9,Yerba Mate Suave 1kg,2.0,38780.0,7756.0
22,28,Papas Fritas Clásicas 100g,3.0,9360.0,2808.0
22,24,Galletitas Chocolate,4.0,13050.0,5220.0
23,64,Avena Instantánea 250g,4.0,39530.0,15812.0
23,83,Queso Untable 190g,4.0,18300.0,7320.0
24,91,Desodorante Aerosol,2.0,46900.0,9380.0
24,40,Helado Chocolate 1L,5.0,12150.0,6075.0
25,55,Shampoo 400ml,1.0,14070.0,1407.0
25,95,Mascarilla Capilar,5.0,15810.0,7905.0
25,72,Ron 700ml,1.0,38760.0,3876.0
26,79,Hamburguesas Congeladas x4,2.0,24200.0,4840.0
26,86,Jugo en Polvo Limón,1.0,40900.0,4090.0
27,7,Jugo de Manzana 1L,4.0,32690.0,13076.0
27,78,Verduras Congeladas Mix,4.0,42890.0,17156.0
28,74,Whisky 750ml,1.0,29530.0,2953.0
28,91,Desodorante Aerosol,2.0,46900.0,9380.0
28,72,Ron 700ml,1.0,38760.0,3876.0
28,18,Queso Rallado 150g,2.0,34440.0,6888.0
28,27,Alfajor Simple,5.0,25020.0,12510.0
29,58,Caramelos Masticables,1.0,47520.0,4752.0
29,36,Dulce de Leche 400g,2.0,25590.0,5118.0
29,71,Vodka 700ml,4.0,5080.0,2032.0
29,27,Alfajor Simple,2.0,25020.0,5004.0
29,66,Cerveza Negra 1L,1.0,15330.0,1533.0
30,49,Harina de Trigo 1kg,4.0,25120.0,10048.0
30,78,Verduras Congeladas Mix,3.0,42890.0,12867.0
30,82,Aceitunas Negras 200g,4.0,23940.0,9576.0
30,7,Jugo de Manzana 1L,1.0,32690.0,3269.0
31,92,Crema Dental 90g,4.0,25120.0,10048.0
31,90,Toallas Húmedas x50,3.0,29020.0,8706.0
31,84,Queso Azul 150g,5.0,16450.0,8225.0
32,72,Ron 700ml,5.0,38760.0,19380.0
32,53,Lavandina 1L,4.0,16640.0,6656.0
32,17,Queso Cremoso 500g,3.0,48340.0,14502.0
32,35,Barrita de Cereal 30g,3.0,44300.0,13290.0
33,47,Garbanzos 500g,2.0,29390.0,5878.0
33,76,Pizza Congelada Muzzarella,4.0,42860.0,17144.0
33,100,Trapo de Piso,1.0,48540.0,4854.0
33,91,Desodorante Aerosol,2.0,46900.0,9380.0
34,10,Yerba Mate Intensa 1kg,1.0,48830.0,4883.0
34,32,Chocolate Amargo 100g,5.0,22340.0,11170.0
35,93,Cepillo de Dientes,3.0,21420.0,6426.0
35,80,Helado de Frutilla 1L,2.0,19810.0,3962.0
35,88,Caldo Concentrado Carne,5.0,25700.0,12850.0
36,50,Azúcar 1kg,4.0,7270.0,2908.0
36,48,Porotos Negros 500g,2.0,44620.0,8924.0
37,18,Queso Rallado 150g,3.0,34440.0,10332.0
38,62,Stevia 100 sobres,5.0,38480.0,19240.0
38,14,Leche Entera 1L,3.0,17230.0,5169.0
38,65,Cerveza Rubia 1L,5.0,24230.0,12115.0
38,5,Agua Mineral 500ml,3.0,47770.0,14331.0
39,44,Arroz Largo Fino 1kg,4.0,29790.0,11916.0
39,22,Medialunas de Manteca,2.0,20690.0,4138.0
39,58,Caramelos Masticables,4.0,47520.0,19008.0
39,81,Aceitunas Verdes 200g,4.0,25200.0,10080.0
40,44,Arroz Largo Fino 1kg,2.0,29790.0,5958.0
41,51,Sal Fina 500g,1.0,17450.0,1745.0
41,15,Leche Descremada 1L,1.0,25380.0,2538.0
42,47,Garbanzos 500g,3.0,29390.0,8817.0
42,29,Papas Fritas Onduladas 100g,1.0,18680.0,1868.0
42,73,Gin 700ml,3.0,15610.0,4683.0
43,1,Coca Cola 1.5L,5.0,23470.0,11735.0
43,49,Harina de Trigo 1kg,2.0,25120.0,5024.0
43,66,Cerveza Negra 1L,2.0,15330.0,3066.0
44,48,Porotos Negros 500g,1.0,44620.0,4462.0
44,47,Garbanzos 500g,2.0,29390.0,5878.0
44,100,Trapo de Piso,2.0,48540.0,9708.0
45,12,Té Negro 20 saquitos,2.0,5700.0,1140.0
45,18,Queso Rallado 150g,2.0,34440.0,6888.0
45,87,Sopa Instantánea Pollo,4.0,16790.0,6716.0
45,98,Desengrasante 500ml,1.0,28430.0,2843.0
45,52,Detergente Líquido 750ml,2.0,25820.0,5164.0
46,21,Pan Lactal Integral,1.0,2720.0,272.0
47,43,Salsa de Tomate 500g,5.0,8870.0,4435.0
47,6,Jugo de Naranja 1L,3.0,41700.0,12510.0
48,70,Fernet 750ml,1.0,40610.0,4061.0
48,54,Jabón de Tocador,5.0,15920.0,7960.0
48,57,Servilletas x100,4.0,45200.0,18080.0
49,59,Chicle Menta,2.0,36120.0,7224.0
49,21,Pan Lactal Integral,4.0,2720.0,1088.0
49,59,Chicle Menta,4.0,36120.0,14448.0
49,18,Queso Rallado 150g,3.0,34440.0,10332.0
49,85,Jugo en Polvo Naranja,3.0,18560.0,5568.0
50,10,Yerba Mate Intensa 1kg,2.0,48830.0,9766.0
50,34,Turrón 50g,5.0,5030.0,2515.0
50,58,Caramelos Masticables,5.0,47520.0,23760.0
50,32,Chocolate Amargo 100g,3.0,22340.0,6702.0
50,91,Desodorante Aerosol,4.0,46900.0,18760.0
51,31,Mix de Frutos Secos 200g,1.0,34090.0,3409.0
52,83,Queso Untable 190g,2.0,18300.0,3660.0
52,9,Yerba Mate Suave 1kg,4.0,38780.0,15512.0
52,81,Aceitunas Verdes 200g,5.0,25200.0,12600.0
52,38,Mermelada de Frutilla 400g,3.0,15840.0,4752.0
53,28,Papas Fritas Clásicas 100g,1.0,9360.0,936.0
54,65,Cerveza Rubia 1L,1.0,24230.0,2423.0
54,18,Queso Rallado 150g,2.0,34440.0,6888.0
54,91,Desodorante Aerosol,3.0,46900.0,14070.0
54,8,Energética Nitro 500ml,3.0,42180.0,12654.0
55,39,Helado Vainilla 1L,4.0,4690.0,1876.0
56,18,Queso Rallado 150g,5.0,34440.0,17220.0
57,31,Mix de Frutos Secos 200g,3.0,34090.0,10227.0
57,41,Aceite de Girasol 1L,4.0,8600.0,3440.0
57,9,Yerba Mate Suave 1kg,5.0,38780.0,19390.0
57,76,Pizza Congelada Muzzarella,3.0,42860.0,12858.0
57,98,Desengrasante 500ml,4.0,28430.0,11372.0
58,43,Salsa de Tomate 500g,2.0,8870.0,1774.0
58,11,Café Molido 250g,1.0,20530.0,2053.0
59,31,Mix de Frutos Secos 200g,1.0,34090.0,3409.0
59,8,Energética Nitro 500ml,2.0,42180.0,8436.0
59,97,Limpiavidrios 500ml,5.0,8720.0,4360.0
60,43,Salsa de Tomate 500g,1.0,8870.0,887.0
60,98,Desengrasante 500ml,3.0,28430.0,8529.0
60,15,Leche Descremada 1L,1.0,25380.0,2538.0
60,21,Pan Lactal Integral,2.0,2720.0,544.0
60,91,Desodorante Aerosol,4.0,46900.0,18760.0
61,9,Yerba Mate Suave 1kg,3.0,38780.0,11634.0
61,19,Manteca 200g,3.0,32510.0,9753.0
62,47,Garbanzos 500g,4.0,29390.0,11756.0
62,95,Mascarilla Capilar,3.0,15810.0,4743.0
63,8,Energética Nitro 500ml,5.0,42180.0,21090.0
63,2,Pepsi 1.5L,2.0,49730.0,9946.0
63,70,Fernet 750ml,3.0,40610.0,12183.0
63,45,Fideos Spaghetti 500g,4.0,7450.0,2980.0
64,4,Fanta Naranja 1.5L,2.0,20330.0,4066.0
64,41,Aceite de Girasol 1L,2.0,8600.0,1720.0
65,77,Empanadas Congeladas,4.0,47780.0,19112.0
65,22,Medialunas de Manteca,3.0,20690.0,6207.0
65,38,Mermelada de Frutilla 400g,5.0,15840.0,7920.0
65,36,Dulce de Leche 400g,4.0,25590.0,10236.0
66,16,Yogur Natural 200g,3.0,46130.0,13839.0
67,53,Lavandina 1L,1.0,16640.0,1664.0
67,8,Energética Nitro 500ml,2.0,42180.0,8436.0
68,94,Hilo Dental,4.0,14180.0,5672.0
69,76,Pizza Congelada Muzzarella,4.0,42860.0,17144.0
69,74,Whisky 750ml,3.0,29530.0,8859.0
70,66,Cerveza Negra 1L,3.0,15330.0,4599.0
70,89,Caldo Concentrado Verdura,4.0,10030.0,4012.0
70,38,Mermelada de Frutilla 400g,3.0,15840.0,4752.0
71,11,Café Molido 250g,3.0,20530.0,6159.0
71,79,Hamburguesas Congeladas x4,4.0,24200.0,9680.0
71,100,Trapo de Piso,4.0,48540.0,19416.0
71,92,Crema Dental 90g,1.0,25120.0,2512.0
72,94,Hilo Dental,3.0,14180.0,4254.0
72,41,Aceite de Girasol 1L,4.0,8600.0,3440.0
72,51,Sal Fina 500g,2.0,17450.0,3490.0
73,28,Papas Fritas Clásicas 100g,1.0,9360.0,936.0
73,24,Galletitas Chocolate,3.0,13050.0,3915.0
73,19,Manteca 200g,1.0,32510.0,3251.0
74,32,Chocolate Amargo 100g,3.0,22340.0,6702.0
74,14,Leche Entera 1L,2.0,17230.0,3446.0
74,55,Shampoo 400ml,2.0,14070.0,2814.0
75,3,Sprite 1.5L,4.0,49640.0,19856.0
75,2,Pepsi 1.5L,5.0,49730.0,24865.0
76,22,Medialunas de Manteca,4.0,20690.0,8276.0
76,23,Bizcochos Salados,4.0,23800.0,9520.0
76,24,Galletitas Chocolate,1.0,13050.0,1305.0
76,11,Café Molido 250g,2.0,20530.0,4106.0
77,53,Lavandina 1L,2.0,16640.0,3328.0
77,41,Aceite de Girasol 1L,1.0,8600.0,860.0
77,34,Turrón 50g,5.0,5030.0,2515.0
77,98,Desengrasante 500ml,2.0,28430.0,5686.0
77,39,Helado Vainilla 1L,2.0,4690.0,938.0
78,37,Mermelada de Durazno 400g,3.0,31960.0,9588.0
78,79,Hamburguesas Congeladas x4,5.0,24200.0,12100.0
78,17,Queso Cremoso 500g,2.0,48340.0,9668.0
78,85,Jugo en Polvo Naranja,1.0,18560.0,1856.0
78,39,Helado Vainilla 1L,2.0,4690.0,938.0
79,81,Aceitunas Verdes 200g,2.0,25200.0,5040.0
79,56,Papel Higiénico x4,2.0,25320.0,5064.0
80,39,Helado Vainilla 1L,5.0,4690.0,2345.0
80,30,Maní Salado 200g,3.0,48750.0,14625.0
80,41,Aceite de Girasol 1L,5.0,8600.0,4300.0
81,10,Yerba Mate Intensa 1kg,2.0,48830.0,9766.0
82,38,Mermelada de Frutilla 400g,1.0,15840.0,1584.0
82,28,Papas Fritas Clásicas 100g,2.0,9360.0,1872.0
82,29,Papas Fritas Onduladas 100g,5.0,18680.0,9340.0
82,82,Aceitunas Negras 200g,2.0,23940.0,4788.0
83,5,Agua Mineral 500ml,2.0,47770.0,9554.0
83,26,Alfajor Triple,2.0,10010.0,2002.0
83,73,Gin 700ml,5.0,15610.0,7805.0
83,51,Sal Fina 500g,2.0,17450.0,3490.0
84,83,Queso Untable 190g,5.0,18300.0,9150.0
84,76,Pizza Congelada Muzzarella,4.0,42860.0,17144.0
85,32,Chocolate Amargo 100g,4.0,22340.0,8936.0
85,80,Helado de Frutilla 1L,2.0,19810.0,3962.0
86,66,Cerveza Negra 1L,2.0,15330.0,3066.0
86,1,Coca Cola 1.5L,4.0,23470.0,9388.0
86,13,Té Verde 20 saquitos,5.0,23830.0,11915.0
86,41,Aceite de Girasol 1L,3.0,8600.0,2580.0
87,53,Lavandina 1L,2.0,16640.0,3328.0
87,86,Jugo en Polvo Limón,2.0,40900.0,8180.0
88,7,Jugo de Manzana 1L,5.0,32690.0,16345.0
88,53,Lavandina 1L,5.0,16640.0,8320.0
88,8,Energética Nitro 500ml,4.0,42180.0,16872.0
89,72,Ron 700ml,2.0,38760.0,7752.0
90,79,Hamburguesas Congeladas x4,4.0,24200.0,9680.0
90,6,Jugo de Naranja 1L,2.0,41700.0,8340.0
91,57,Servilletas x100,3.0,45200.0,13560.0
92,10,Yerba Mate Intensa 1kg,2.0,48830.0,9766.0
92,43,Salsa de Tomate 500g,4.0,8870.0,3548.0
93,80,Helado de Frutilla 1L,4.0,19810.0,7924.0
93,66,Cerveza Negra 1L,3.0,15330.0,4599.0
93,91,Desodorante Aerosol,3.0,46900.0,14070.0
94,24,Galletitas Chocolate,1.0,13050.0,1305.0
94,86,Jugo en Polvo Limón,5.0,40900.0,20450.0
94,98,Desengrasante 500ml,2.0,28430.0,5686.0
95,72,Ron 700ml,5.0,38760.0,19380.0
95,12,Té Negro 20 saquitos,1.0,5700.0,570.0
96,81,Aceitunas Verdes 200g,3.0,25200.0,7560.0
96,68,Vino Blanco 750ml,1.0,26840.0,2684.0
96,11,Café Molido 250g,2.0,20530.0,4106.0
96,50,Azúcar 1kg,3.0,7270.0,2181.0
97,59,Chicle Menta,5.0,36120.0,18060.0
97,36,Dulce de Leche 400g,1.0,25590.0,2559.0
97,4,Fanta Naranja 1.5L,3.0,20330.0,6099.0
98,28,Papas Fritas Clásicas 100g,4.0,9360.0,3744.0
98,61,Miel Pura 250g,1.0,49820.0,4982.0
98,29,Papas Fritas Onduladas 100g,1.0,18680.0,1868.0
98,83,Queso Untable 190g,3.0,18300.0,5490.0
99,40,Helado Chocolate 1L,5.0,12150.0,6075.0
100,13,Té Verde 20 saquitos,3.0,23830.0,7149.0
100,18,Queso Rallado 150g,4.0,34440.0,13776.0
100,58,Caramelos Masticables,2.0,47520.0,9504.0
100,57,Servilletas x100,1.0,45200.0,4520.0
100,9,Yerba Mate Suave 1kg,4.0,38780.0,15512.0
101,34,Turrón 50g,4.0,5030.0,2012.0
102,78,Verduras Congeladas Mix,3.0,42890.0,12867.0
102,36,Dulce de Leche 400g,3.0,25590.0,7677.0
103,79,Hamburguesas Congeladas x4,5.0,24200.0,12100.0
103,43,Salsa de Tomate 500g,5.0,8870.0,4435.0
103,34,Turrón 50g,1.0,5030.0,503.0
103,70,Fernet 750ml,1.0,40610.0,4061.0
104,95,Mascarilla Capilar,2.0,15810.0,3162.0
104,68,Vino Blanco 750ml,3.0,26840.0,8052.0
104,68,Vino Blanco 750ml,5.0,26840.0,13420.0
105,13,Té Verde 20 saquitos,2.0,23830.0,4766.0
105,4,Fanta Naranja 1.5L,4.0,20330.0,8132.0
105,58,Caramelos Masticables,2.0,47520.0,9504.0
105,82,Aceitunas Negras 200g,4.0,23940.0,9576.0
105,43,Salsa de Tomate 500g,5.0,8870.0,4435.0
106,88,Caldo Concentrado Carne,3.0,25700.0,7710.0
107,7,Jugo de Manzana 1L,4.0,32690.0,13076.0
107,11,Café Molido 250g,2.0,20530.0,4106.0
107,12,Té Negro 20 saquitos,4.0,5700.0,2280.0
107,5,Agua Mineral 500ml,4.0,47770.0,19108.0
108,90,Toallas Húmedas x50,4.0,29020.0,11608.0
109,18,Queso Rallado 150g,1.0,34440.0,3444.0
109,74,Whisky 750ml,1.0,29530.0,2953.0
109,20,Pan Lactal Blanco,2.0,15710.0,3142.0
109,44,Arroz Largo Fino 1kg,5.0,29790.0,14895.0
110,6,Jugo de Naranja 1L,1.0,41700.0,4170.0
110,59,Chicle Menta,3.0,36120.0,10836.0
110,6,Jugo de Naranja 1L,5.0,41700.0,20850.0
111,97,Limpiavidrios 500ml,4.0,8720.0,3488.0
111,93,Cepillo de Dientes,3.0,21420.0,6426.0
111,20,Pan Lactal Blanco,2.0,15710.0,3142.0
111,23,Bizcochos Salados,4.0,23800.0,9520.0
112,55,Shampoo 400ml,1.0,14070.0,1407.0
112,21,Pan Lactal Integral,4.0,2720.0,1088.0
112,43,Salsa de Tomate 500g,5.0,8870.0,4435.0
112,13,Té Verde 20 saquitos,2.0,23830.0,4766.0
112,59,Chicle Menta,1.0,36120.0,3612.0
113,53,Lavandina 1L,2.0,16640.0,3328.0
113,92,Crema Dental 90g,3.0,25120.0,7536.0
114,8,Energética Nitro 500ml,1.0,42180.0,4218.0
114,84,Queso Azul 150g,1.0,16450.0,1645.0
114,10,Yerba Mate Intensa 1kg,1.0,48830.0,4883.0
114,55,Shampoo 400ml,5.0,14070.0,7035.0
114,92,Crema Dental 90g,4.0,25120.0,10048.0
115,17,Queso Cremoso 500g,4.0,48340.0,19336.0
115,97,Limpiavidrios 500ml,5.0,8720.0,4360.0
115,95,Mascarilla Capilar,4.0,15810.0,6324.0
115,84,Queso Azul 150g,2.0,16450.0,3290.0
116,65,Cerveza Rubia 1L,1.0,24230.0,2423.0
116,35,Barrita de Cereal 30g,2.0,44300.0,8860.0
116,42,Vinagre de Alcohol 500ml,4.0,11950.0,4780.0
116,54,Jabón de Tocador,5.0,15920.0,7960.0
116,90,Toallas Húmedas x50,4.0,29020.0,11608.0
117,67,Vino Tinto Malbec 750ml,4.0,47190.0,18876.0
117,61,Miel Pura 250g,2.0,49820.0,9964.0
118,68,Vino Blanco 750ml,5.0,26840.0,13420.0
118,68,Vino Blanco 750ml,3.0,26840.0,8052.0
118,70,Fernet 750ml,2.0,40610.0,8122.0
118,93,Cepillo de Dientes,3.0,21420.0,6426.0
118,50,Azúcar 1kg,2.0,7270.0,1454.0
119,45,Fideos Spaghetti 500g,5.0,7450.0,3725.0
120,20,Pan Lactal Blanco,5.0,15710.0,7855.0
